nama,harga
Kopi Cangkir,6000
Kopi Gelas,7000
Kopi Susu,7000
KSTG,8000
V-Drip,8000
V-Drip Susu,10000
Tubruk,8000
Tubruk Susu,10000
Taro,12000
Bubblegum,12000
Mangga,13000
Blueberry,12000
Strawberry,12000
Red Velvet,12000
Banana,12000
Oreo,12000
Regal,12000
Green Tea,14000
Tea,5000
Milk Tea,8000
Lemon Tea,8000
Green Tea Ori,9000
Nutrisari,5000
Nutrisu,6000
Kubima,5000
Joss,5000
Kubisu,6000
Joshua,6000
Susu,8000
Cappuccino,8000
Milo,8000
Chocolate,12000
Happy Cola,12000
Happy Soda,12000
Mie Ori,7000
Mitel (Mie + Telur),10000
Misos (Mie + Sosis),10000
French Fries,10000
Sosis,10000
Nugget Ayam,12000
